epoch,step,layer,expert,count
16,0,0,3,0
16,0,0,4,780
16,0,0,5,785
16,0,0,6,447
16,0,0,7,0
16,0,1,1,0
16,0,1,2,0
16,0,1,3,614
16,0,1,4,0
16,0,1,5,5
16,0,1,6,440
16,0,1,7,789
16,0,1,0,0
17,0,0,0,0
17,0,0,1,40
17,0,0,2,0
17,0,0,3,0
17,0,0,4,780
17,0,0,5,785
17,0,0,6,447
17,0,0,7,0
17,0,1,4,0
17,0,1,5,5
17,0,1,6,440
17,0,1,7,789
17,0,1,0,0
17,0,1,1,0
17,0,1,2,0
17,0,1,3,614
18,0,0,2,0
18,0,0,3,0
18,0,0,4,780
18,0,0,5,785
18,0,0,6,447
18,0,0,7,0
18,0,0,0,0
18,0,0,1,40
18,0,1,5,6
18,0,1,6,433
18,0,1,7,789
18,0,1,0,0
18,0,1,1,0
18,0,1,2,0
18,0,1,3,575
18,0,1,4,0
19,0,0,4,780
19,0,0,5,785
19,0,0,6,447
19,0,0,7,0
19,0,0,0,0
19,0,0,1,40
19,0,0,2,0
19,0,0,3,0
19,0,1,1,0
19,0,1,2,0
19,0,1,3,575
19,0,1,4,0
19,0,1,5,6
19,0,1,6,433
19,0,1,7,789
19,0,1,0,0
20,0,0,6,447
20,0,0,7,0
20,0,0,0,0
20,0,0,1,40
20,0,0,2,0
20,0,0,3,0
20,0,0,4,780
20,0,0,5,785
20,0,1,5,5
20,0,1,6,388
20,0,1,7,789
20,0,1,0,0
20,0,1,1,0
20,0,1,2,0
20,0,1,3,502
20,0,1,4,0
21,0,0,6,447
21,0,0,7,0
21,0,0,0,0
21,0,0,1,40
21,0,0,2,0
21,0,0,3,0
21,0,0,4,780
21,0,0,5,785
21,0,1,7,789
21,0,1,0,0
21,0,1,1,0
21,0,1,2,0
21,0,1,3,502
21,0,1,4,0
21,0,1,5,5
21,0,1,6,388
22,0,0,5,785
22,0,0,6,447
22,0,0,7,0
22,0,0,0,0
22,0,0,1,40
22,0,0,2,0
22,0,0,3,0
22,0,0,4,780
22,0,1,4,0
22,0,1,5,5
22,0,1,6,522
22,0,1,7,789
