2026/04/12 13:30:58 main.go:26: Initializing MoE Model [Dim=256, Experts=8, K=2, Batch=256, Prefetch=4]
2026/04/12 13:30:58 main.go:48: --- 🚀 Starting Gollemer Training (Goroutine-pipelined) ---
Epoch 14300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 14400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 14500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 14600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 14700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 14800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 14900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 15000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 15100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 15200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 15300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 15400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 15500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 15600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 15700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 15800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 15900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 16000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 16100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 16200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 16300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 16400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2430 samples/sec
Epoch 16500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2430 samples/sec
Epoch 16600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2430 samples/sec
Epoch 16700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 16800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 16900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 17000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2429 samples/sec
Epoch 17100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2428 samples/sec
